"filename", "language", "JSON", "Markdown", "TypeScript", "JSON with Comments", "TypeScript JSX", "JavaScript", "PostCSS", "HTML", "XML", "MS SQL", "Python", "Skill", "comment", "blank", "total"
"e:\Сайты\Nodes\nodes-backend\config\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\Сайты\Nodes\nodes-backend\config\asgi.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 8, 5, 17
"e:\Сайты\Nodes\nodes-backend\config\settings.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 108, 0, 27, 36, 171
"e:\Сайты\Nodes\nodes-backend\config\urls.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 16, 2, 24
"e:\Сайты\Nodes\nodes-backend\config\wsgi.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 8, 6, 19
"e:\Сайты\Nodes\nodes-backend\engine\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\Сайты\Nodes\nodes-backend\engine\admin.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 2, 4
"e:\Сайты\Nodes\nodes-backend\engine\apps.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 3, 6
"e:\Сайты\Nodes\nodes-backend\engine\authentication.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 74, 0, 15, 20, 109
"e:\Сайты\Nodes\nodes-backend\engine\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\Сайты\Nodes\nodes-backend\engine\models.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 122, 0, 4, 26, 152
"e:\Сайты\Nodes\nodes-backend\engine\services.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 111, 0, 25, 31, 167
"e:\Сайты\Nodes\nodes-backend\engine\tests.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 2, 4
"e:\Сайты\Nodes\nodes-backend\engine\urls.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 2, 7
"e:\Сайты\Nodes\nodes-backend\engine\views.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 6, 7, 32
"e:\Сайты\Nodes\nodes-backend\manage.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 3, 5, 23
"e:\Сайты\Nodes\nodes-backend\vercel.json", "JSON", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 20
"e:\Сайты\Nodes\nodes-frontend\README.md", "Markdown", 0, 79, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 106
"e:\Сайты\Nodes\nodes-frontend\bundle-stats.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 138, 0, 0, 0, 0, 4793, 20, 4951
"e:\Сайты\Nodes\nodes-frontend\components.json", "JSON", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 26
"e:\Сайты\Nodes\nodes-frontend\eslint.config.js", "JavaScript", 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 2, 24
"e:\Сайты\Nodes\nodes-frontend\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 3, 22
"e:\Сайты\Nodes\nodes-frontend\knip.json", "JSON", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13
"e:\Сайты\Nodes\nodes-frontend\package-lock.json", "JSON", 8787, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8788
"e:\Сайты\Nodes\nodes-frontend\package.json", "JSON", 73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 74
"e:\Сайты\Nodes\nodes-frontend\postcss.config.js", "JavaScript", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"e:\Сайты\Nodes\nodes-frontend\public\vite.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"e:\Сайты\Nodes\nodes-frontend\src\App.css", "PostCSS", 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 6, 43
"e:\Сайты\Nodes\nodes-frontend\src\App.tsx", "TypeScript JSX", 0, 0, 0, 0, 95, 0, 0, 0, 0, 0, 0, 0, 7, 13, 115
"e:\Сайты\Nodes\nodes-frontend\src\assets\react.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"e:\Сайты\Nodes\nodes-frontend\src\components\ErrorBoundary.tsx", "TypeScript JSX", 0, 0, 0, 0, 74, 0, 0, 0, 0, 0, 0, 0, 0, 11, 85
"e:\Сайты\Nodes\nodes-frontend\src\components\ThemeToggle.tsx", "TypeScript JSX", 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 4, 20
"e:\Сайты\Nodes\nodes-frontend\src\components\ui\badge.tsx", "TypeScript JSX", 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 6, 37
"e:\Сайты\Nodes\nodes-frontend\src\components\ui\button.tsx", "TypeScript JSX", 0, 0, 0, 0, 53, 0, 0, 0, 0, 0, 0, 0, 1, 6, 60
"e:\Сайты\Nodes\nodes-frontend\src\components\ui\card-tilt.tsx", "TypeScript JSX", 0, 0, 0, 0, 122, 0, 0, 0, 0, 0, 0, 0, 0, 20, 142
"e:\Сайты\Nodes\nodes-frontend\src\components\ui\card.tsx", "TypeScript JSX", 0, 0, 0, 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 9, 77
"e:\Сайты\Nodes\nodes-frontend\src\components\ui\checkbox.tsx", "TypeScript JSX", 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 4, 29
"e:\Сайты\Nodes\nodes-frontend\src\components\ui\connector-tag.tsx", "TypeScript JSX", 0, 0, 0, 0, 74, 0, 0, 0, 0, 0, 0, 0, 0, 4, 78
"e:\Сайты\Nodes\nodes-frontend\src\components\ui\dialog.tsx", "TypeScript JSX", 0, 0, 0, 0, 108, 0, 0, 0, 0, 0, 0, 0, 0, 13, 121
"e:\Сайты\Nodes\nodes-frontend\src\components\ui\input.tsx", "TypeScript JSX", 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 4, 23
"e:\Сайты\Nodes\nodes-frontend\src\components\ui\label.tsx", "TypeScript JSX", 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 5, 25
"e:\Сайты\Nodes\nodes-frontend\src\components\ui\popover.tsx", "TypeScript JSX", 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 7, 32
"e:\Сайты\Nodes\nodes-frontend\src\components\ui\radio-group.tsx", "TypeScript JSX", 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 6, 45
"e:\Сайты\Nodes\nodes-frontend\src\components\ui\scroll-area.tsx", "TypeScript JSX", 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 5, 47
"e:\Сайты\Nodes\nodes-frontend\src\components\ui\sheet.tsx", "TypeScript JSX", 0, 0, 0, 0, 127, 0, 0, 0, 0, 0, 0, 0, 0, 15, 142
"e:\Сайты\Nodes\nodes-frontend\src\components\ui\skeleton.tsx", "TypeScript JSX", 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
"e:\Сайты\Nodes\nodes-frontend\src\components\ui\tooltip.tsx", "TypeScript JSX", 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 7, 31
"e:\Сайты\Nodes\nodes-frontend\src\config\index.ts", "TypeScript", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 8
"e:\Сайты\Nodes\nodes-frontend\src\entities\connector\ui\ConnectorSelector.tsx", "TypeScript JSX", 0, 0, 0, 0, 146, 0, 0, 0, 0, 0, 0, 0, 10, 12, 168
"e:\Сайты\Nodes\nodes-frontend\src\entities\core\model\coreSelectors.ts", "TypeScript", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 3, 20
"e:\Сайты\Nodes\nodes-frontend\src\entities\core\model\coreUtils.ts", "TypeScript", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 21
"e:\Сайты\Nodes\nodes-frontend\src\entities\graph\lib\graphUtils.ts", "TypeScript", 0, 0, 130, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50, 31, 211
"e:\Сайты\Nodes\nodes-frontend\src\entities\graph\model\buildGraphData.ts", "TypeScript", 0, 0, 101, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 13, 133
"e:\Сайты\Nodes\nodes-frontend\src\entities\graph\model\types.ts", "TypeScript", 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 4, 47
"e:\Сайты\Nodes\nodes-frontend\src\entities\graph\ui\ForceGraph.tsx", "TypeScript JSX", 0, 0, 0, 0, 144, 0, 0, 0, 0, 0, 0, 0, 16, 23, 183
"e:\Сайты\Nodes\nodes-frontend\src\entities\node\model\nodeUtils.ts", "TypeScript", 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 29
"e:\Сайты\Nodes\nodes-frontend\src\features\connectors\connectorService.ts", "TypeScript", 0, 0, 71, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 15, 95
"e:\Сайты\Nodes\nodes-frontend\src\features\connectors\hooks\useConnectorsQuery.ts", "TypeScript", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 19
"e:\Сайты\Nodes\nodes-frontend\src\features\core-management\components\CoreMocManager.tsx", "TypeScript JSX", 0, 0, 0, 0, 78, 0, 0, 0, 0, 0, 0, 0, 3, 11, 92
"e:\Сайты\Nodes\nodes-frontend\src\features\core-management\components\CoreSidebarCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 0, 1, 8, 109
"e:\Сайты\Nodes\nodes-frontend\src\features\core-management\components\CreateCoreForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 102, 0, 0, 0, 0, 0, 0, 0, 0, 9, 111
"e:\Сайты\Nodes\nodes-frontend\src\features\core-management\components\EditCoreForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 104, 0, 0, 0, 0, 0, 0, 0, 0, 10, 114
"e:\Сайты\Nodes\nodes-frontend\src\features\core-management\coreService.ts", "TypeScript", 0, 0, 105, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 20, 146
"e:\Сайты\Nodes\nodes-frontend\src\features\core-management\hooks\useCoresQuery.ts", "TypeScript", 0, 0, 106, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 120
"e:\Сайты\Nodes\nodes-frontend\src\features\dashboard\components\CapacityBar.tsx", "TypeScript JSX", 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 6, 47
"e:\Сайты\Nodes\nodes-frontend\src\features\dashboard\components\DailyFocusSelector.tsx", "TypeScript JSX", 0, 0, 0, 0, 117, 0, 0, 0, 0, 0, 0, 0, 2, 13, 132
"e:\Сайты\Nodes\nodes-frontend\src\features\dashboard\components\WeekCalendar.tsx", "TypeScript JSX", 0, 0, 0, 0, 83, 0, 0, 0, 0, 0, 0, 0, 1, 10, 94
"e:\Сайты\Nodes\nodes-frontend\src\features\graph-visualization\hooks\useGraphData.ts", "TypeScript", 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 6, 47
"e:\Сайты\Nodes\nodes-frontend\src\features\graph-visualization\lib\iconCache.ts", "TypeScript", 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 16, 105
"e:\Сайты\Nodes\nodes-frontend\src\features\nodes\__tests__\nodeService.test.ts", "TypeScript", 0, 0, 72, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 20, 102
"e:\Сайты\Nodes\nodes-frontend\src\features\nodes\components\ColorPicker.tsx", "TypeScript JSX", 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 6, 4, 53
"e:\Сайты\Nodes\nodes-frontend\src\features\nodes\components\CreateNodeForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 384, 0, 0, 0, 0, 0, 0, 0, 27, 30, 441
"e:\Сайты\Nodes\nodes-frontend\src\features\nodes\components\EditNodeForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 312, 0, 0, 0, 0, 0, 0, 0, 20, 29, 361
"e:\Сайты\Nodes\nodes-frontend\src\features\nodes\components\IconPicker.tsx", "TypeScript JSX", 0, 0, 0, 0, 141, 0, 0, 0, 0, 0, 0, 0, 10, 9, 160
"e:\Сайты\Nodes\nodes-frontend\src\features\nodes\components\NodeCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 139, 0, 0, 0, 0, 0, 0, 0, 14, 12, 165
"e:\Сайты\Nodes\nodes-frontend\src\features\nodes\components\NodeCardHeader.tsx", "TypeScript JSX", 0, 0, 0, 0, 74, 0, 0, 0, 0, 0, 0, 0, 8, 9, 91
"e:\Сайты\Nodes\nodes-frontend\src\features\nodes\components\NodeCardSkeleton.tsx", "TypeScript JSX", 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 4, 6, 49
"e:\Сайты\Nodes\nodes-frontend\src\features\nodes\components\NodeCardStability.tsx", "TypeScript JSX", 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 4, 6, 58
"e:\Сайты\Nodes\nodes-frontend\src\features\nodes\components\NodeCardStats.tsx", "TypeScript JSX", 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 3, 3, 28
"e:\Сайты\Nodes\nodes-frontend\src\features\nodes\components\NodePreview.tsx", "TypeScript JSX", 0, 0, 0, 0, 134, 0, 0, 0, 0, 0, 0, 0, 17, 14, 165
"e:\Сайты\Nodes\nodes-frontend\src\features\nodes\components\__tests__\EditNodeForm.test.tsx", "TypeScript JSX", 0, 0, 0, 0, 111, 0, 0, 0, 0, 0, 0, 0, 12, 30, 153
"e:\Сайты\Nodes\nodes-frontend\src\features\nodes\components\controls\BinaryControl.tsx", "TypeScript JSX", 0, 0, 0, 0, 92, 0, 0, 0, 0, 0, 0, 0, 3, 8, 103
"e:\Сайты\Nodes\nodes-frontend\src\features\nodes\components\controls\DurationControl.tsx", "TypeScript JSX", 0, 0, 0, 0, 305, 0, 0, 0, 0, 0, 0, 0, 18, 34, 357
"e:\Сайты\Nodes\nodes-frontend\src\features\nodes\components\controls\QuantityControl.tsx", "TypeScript JSX", 0, 0, 0, 0, 216, 0, 0, 0, 0, 0, 0, 0, 11, 20, 247
"e:\Сайты\Nodes\nodes-frontend\src\features\nodes\hooks\useDailyFocusQuery.ts", "TypeScript", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 32
"e:\Сайты\Nodes\nodes-frontend\src\features\nodes\hooks\useImpulsesQuery.ts", "TypeScript", 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 58
"e:\Сайты\Nodes\nodes-frontend\src\features\nodes\hooks\useNodesQuery.ts", "TypeScript", 0, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 69
"e:\Сайты\Nodes\nodes-frontend\src\features\nodes\lib\createNodeSchema.ts", "TypeScript", 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 10, 54
"e:\Сайты\Nodes\nodes-frontend\src\features\nodes\nodeService.ts", "TypeScript", 0, 0, 344, 0, 0, 0, 0, 0, 0, 0, 0, 0, 52, 75, 471
"e:\Сайты\Nodes\nodes-frontend\src\hooks\useAuth.ts", "TypeScript", 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6, 32
"e:\Сайты\Nodes\nodes-frontend\src\hooks\useMediaQuery.ts", "TypeScript", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 18
"e:\Сайты\Nodes\nodes-frontend\src\hooks\useTheme.ts", "TypeScript", 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 30
"e:\Сайты\Nodes\nodes-frontend\src\index.css", "PostCSS", 0, 0, 0, 0, 0, 0, 265, 0, 0, 0, 0, 0, 9, 26, 300
"e:\Сайты\Nodes\nodes-frontend\src\lib\djangoApi.ts", "TypeScript", 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 49
"e:\Сайты\Nodes\nodes-frontend\src\lib\icons.ts", "TypeScript", 0, 0, 130, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 3, 140
"e:\Сайты\Nodes\nodes-frontend\src\lib\supabase.ts", "TypeScript", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 16
"e:\Сайты\Nodes\nodes-frontend\src\lib\utils.ts", "TypeScript", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"e:\Сайты\Nodes\nodes-frontend\src\main.tsx", "TypeScript JSX", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"e:\Сайты\Nodes\nodes-frontend\src\pages\AuthCallbackPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 112, 0, 0, 0, 0, 0, 0, 0, 7, 13, 132
"e:\Сайты\Nodes\nodes-frontend\src\pages\CreateNodePage.tsx", "TypeScript JSX", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 3, 2, 13
"e:\Сайты\Nodes\nodes-frontend\src\pages\EditNodePage.tsx", "TypeScript JSX", 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 3, 4, 24
"e:\Сайты\Nodes\nodes-frontend\src\pages\GraphPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 235, 0, 0, 0, 0, 0, 0, 0, 9, 20, 264
"e:\Сайты\Nodes\nodes-frontend\src\pages\LoginPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 107, 0, 0, 0, 0, 0, 0, 0, 0, 12, 119
"e:\Сайты\Nodes\nodes-frontend\src\pages\NodesListPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 224, 0, 0, 0, 0, 0, 0, 0, 19, 30, 273
"e:\Сайты\Nodes\nodes-frontend\src\pages\NotFoundPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 2, 31
"e:\Сайты\Nodes\nodes-frontend\src\pages\ProfilePage.tsx", "TypeScript JSX", 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 2, 27
"e:\Сайты\Nodes\nodes-frontend\src\pages\SignupPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 135, 0, 0, 0, 0, 0, 0, 0, 0, 13, 148
"e:\Сайты\Nodes\nodes-frontend\src\store\__tests__\useAppStore.test.ts", "TypeScript", 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 7, 33
"e:\Сайты\Nodes\nodes-frontend\src\store\useAppStore.ts", "TypeScript", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13
"e:\Сайты\Nodes\nodes-frontend\src\store\useNodesStore.ts", "TypeScript", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 5, 23
"e:\Сайты\Nodes\nodes-frontend\src\tests\BinaryControl.test.tsx", "TypeScript JSX", 0, 0, 0, 0, 86, 0, 0, 0, 0, 0, 0, 0, 2, 20, 108
"e:\Сайты\Nodes\nodes-frontend\src\tests\NodeCardStability.test.tsx", "TypeScript JSX", 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 13, 48
"e:\Сайты\Nodes\nodes-frontend\src\tests\NodeCardStats.test.tsx", "TypeScript JSX", 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 11, 38
"e:\Сайты\Nodes\nodes-frontend\src\tests\NotFoundPage.test.tsx", "TypeScript JSX", 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 3, 25
"e:\Сайты\Nodes\nodes-frontend\src\tests\QuantityControl.test.tsx", "TypeScript JSX", 0, 0, 0, 0, 134, 0, 0, 0, 0, 0, 0, 0, 0, 29, 163
"e:\Сайты\Nodes\nodes-frontend\src\tests\setup.ts", "TypeScript", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 21
"e:\Сайты\Nodes\nodes-frontend\src\types\index.ts", "TypeScript", 0, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 15, 114
"e:\Сайты\Nodes\nodes-frontend\src\widgets\Layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 88, 0, 0, 0, 0, 0, 0, 0, 7, 10, 105
"e:\Сайты\Nodes\nodes-frontend\src\widgets\ProtectedRoute.tsx", "TypeScript JSX", 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 7, 33
"e:\Сайты\Nodes\nodes-frontend\tailwind.config.js", "JavaScript", 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 1, 1, 12
"e:\Сайты\Nodes\nodes-frontend\tsconfig.app.json", "JSON", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 35
"e:\Сайты\Nodes\nodes-frontend\tsconfig.json", "JSON with Comments", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14
"e:\Сайты\Nodes\nodes-frontend\tsconfig.node.json", "JSON", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 27
"e:\Сайты\Nodes\nodes-frontend\vercel.json", "JSON", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"e:\Сайты\Nodes\nodes-frontend\vite.config.ts", "TypeScript", 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 32
"e:\Сайты\Nodes\nodes-frontend\vitest.config.ts", "TypeScript", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 17
"e:\Сайты\Nodes\vercel.json", "JSON", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
